idsite	code	name	lat	lon	timezone	wsid	wxsrc	type	llq
101	_HP	Hollywood Park	33.950571	-118.343904	America/Los_Angeles		WU	Racetrack	33.950571,-118.343904
805	_NIC	Nicosia Race Club	35.177211	33.327799	Europe/Nicosia		WU	Track	35.177211,33.327799
201	_RB	Reeds-Brook Middle School	44.737429	-68.840043	America/New_York		WU	Other	44.737429,-68.840043
807	_RDJ	Randall 'Doc' James Racetrack	17.697159	-64.791205	America/Moncton		WU	Track	17.697159,-64.791205
812	AIK	Aiken Training Track	33.543778	-81.708418	America/New_York		WU	Training Center	33.543778,-81.708418
100	AP	Arlington Park	42.091864	-88.01192	America/Chicago	9001111	IP-100	Racetrack	42.091864,-88.01192
801	AQU	Aqueduct	40.677661	-73.828981	America/New_York	9000976	IP-100	Track	40.677661,-73.828981
999	BAE	BAE Demo Track	44.883151	-68.669762	America/New_York		WU	Racetrack	44.883151,-68.669762
802	BEL	Belmont Park	40.709289	-73.72144	America/New_York	70127	CS	Track	40.709289,-73.72144
301	BSR	Fairplex	34.076078	-117.768574	America/Los_Angeles		WU	Racetrack	34.076078,-117.768574
401	CBY	Canterbury Park	44.79048	-93.483009	America/Chicago		WU	Racetrack	44.79048,-93.483009
102	CD	Churchill Downs	38.202638	-85.770538	America/New_York	9000975	IP-100	Racetrack	38.202638,-85.770538
105	CRC	Calder Race Course	25.96066	-80.246363	America/New_York		WU	Racetrack	25.96066,-80.246363
107	DMR	Del Mar	32.974486	-117.259848	America/Los_Angeles	30972	CS	Racetrack	32.974486,-117.259848
106	EMD	Emerald Downs	47.327829	-122.23805	America/Los_Angeles	9001088	IP-100	Racetrack	47.327829,-122.23805
303	EVD	Evangeline Downs	30.526745	-92.057345	America/Chicago		WU	Racetrack	30.526745,-92.057345
103	FG	Fair Grounds Race Course	29.983199	-90.08376	America/Chicago	62304	CS	Racetrack	29.983199,-90.08376
408	FL	Finger Lakes	42.968949	-77.341733	America/New_York		WU	Racetrack	42.968949,-77.341733
